id,titolo,ente,tema,programma,apertura,scadenza,scadenza_nota,a_sportello,ammette_comuni,beneficiari,territorio,premialita,costo_min,costo_max,contributo_perc,contributo_min,contributo_max,dotazione,url,riferimento_atto,fonte,verificato_il
mercati-rionali-2026,Mercati rionali: contributi ai Comuni per ammodernamento ampliamento e riqualificazione,Regione Toscana,commercio,PR 2 DEFR 2026,2026-07-06,2026-10-15,Prorogata dal 15/09 al 15/10/2026 ore 12 con decreto 20141 del 11/09/2026,0,1,Comuni della Toscana su cui insiste un mercato rionale,Toscana,Toscana Diffusa (punti 3); attrattivita turistico-storica (punti 2),25000,35000,80,20000,28000,744900,https://www.regione.toscana.it/-/mercati-rionali-contributi-ai-comuni-per-ammodernamento-ampliamento-e-riqualificazione,Decreto dirigenziale 13287 del 10/06/2026,Portale bandi Regione Toscana,2026-09-14
immobili-emergenza-abitativa-2026,Manifestazione di interesse per il reperimento di patrimonio immobiliare da destinare ad emergenza abitativa e/o residenza sociale,Regione Toscana,casa,,2026-04-10,2026-11-30,,0,1,Amministrazioni ed enti pubblici; Comuni con beni confiscati; Enti del Terzo Settore,Toscana,,,,,,,,https://www.regione.toscana.it/-/manifestazione-di-interesse-per-il-reperimento-di-patrimonio-immobiliare-da-destinare-ad-emergenza-abitativa-e/o-residenza-sociale-1,Decreto 7564 del 10/04/2026 integrato da decreto 18175 del 12/08/2026,Portale bandi Regione Toscana,2026-09-14
orientamento-universitario-2018,Avviso per il finanziamento di progetti di informazione e orientamento in uscita dai percorsi universitari,Regione Toscana,formazione,Giovanisi,2018-04-18,2019-09-30,Quattro finestre di presentazione chiuse nel 2019; il portale segnala ancora Aperto ma le scadenze sono passate,0,0,Universita ed Istituti di istruzione universitaria singoli o associati con sede in Toscana,Toscana,,,,,,,,https://www.regione.toscana.it/-/avviso-per-il-finanziamento-di-progetti-di-informazione-e-orientamento-in-uscita-dai-percorsi-universitari,Decreto 5132 del 03/04/2018,Portale bandi Regione Toscana,2026-09-14
percorsi-formativi-ecosistemi-2026,Finanziamenti per realizzare percorsi formativi in undici settori produttivi strategici,Regione Toscana,formazione,PR FSE+ 2021-2027 priorita 1,2026-08-13,2026-10-12,Prorogata dal 30/09 al 12/10/2026 ore 13 con decreto 19940 del 07/09/2026,0,0,Enti formativi accreditati singoli o in ATI/ATS eventualmente con imprese,Toscana,Toscana Diffusa,,149000,,,,,https://www.regione.toscana.it/-/finanziamenti-per-realizzare-percorsi-formativi-in-undici-settori-produttivi-strategici,Decreto dirigenziale 17615 del 31/07/2026,Portale bandi Regione Toscana,2026-09-14
assegno-formazione-gol,Assegno formazione GOL,Regione Toscana,formazione,PNRR Missione 5 Componente 1,2024-04-11,2027-07-31,A sportello con istruttoria mensile; Misura 2 catalogo fino al 30/06/2027,1,0,Enti formativi accreditati iscritti al Catalogo che presentano per conto dei beneficiari GOL,Toscana,,,,,,,84552097.68,https://www.regione.toscana.it/-/assegno-formazione-gol,Decreto 7903 del 11/04/2024 modificato da decreto 12931 del 12/06/2026,Portale bandi Regione Toscana,2026-09-14
impianti-rifiuti-recupero-2026,Contributi per realizzazione e potenziamento di impianti di trattamento dei rifiuti per il loro recupero,Regione Toscana,ambiente,PR FESR 2021-2027 subazione 2.6.1.2,2026-09-07,2026-10-23,,0,0,Micro piccole e medie imprese del settore trattamento e recupero rifiuti con codici Ateco sezioni B e C e codici 38 39 41 42 43 46,Toscana,,,,,,,15000000,https://www.regione.toscana.it/-/contributi-per-la-realizzazione-e-potenziamento-di-impianti-di-trattamento.dei-rifiuti-per-il-loro-recupero,Decreto dirigenziale 16970 del 24/07/2026,Portale bandi Regione Toscana,2026-09-14
nidi-gratis-2026-2027,Bando Nidi gratis 2026-2027 per i servizi educativi rivolto ai Comuni,Regione Toscana,istruzione,PR FSE+ 2021-2027,,2026-09-25,Riaperte le adesioni: credenziali entro il 25/09/2026; documentazione per i Comuni gia candidati entro il 06/10/2026,0,1,Comuni singolarmente o in forma associata tramite Unioni di Comuni o convenzione art. 20 LR 68/2011,Toscana,,,,,,,,https://www.regione.toscana.it/-/bando-nidi-gratis-2026-2027-per-i-servizi-educativi-rivolto-ai-comuni,Decreto 4545 del 05/03/2026 aggiornato da decreto 19629 del 03/09/2026,Portale bandi Regione Toscana,2026-09-14
toscana-diffusa-strutture-2026,Avviso pubblico Comuni Toscana Diffusa: contributi per strutture di servizio pubbliche,Regione Toscana,territorio,Risorse regionali annualita 2027,2026-06-01,2026-10-30,Domande dalle ore 12 del 01/06/2026 alle ore 12 del 30/10/2026; una sola istanza per Comune,0,1,Comuni ricadenti nei territori della Toscana Diffusa individuati dalla LR 11/2025 e dall Allegato A alla Delibera CR 10/2025,Toscana Diffusa,Riservato ai Comuni Toscana Diffusa; per i parzialmente montani l intervento deve ricadere nella parte montana,,,80,,500000,10000000,https://www.regione.toscana.it/-/avviso-pubblico-comuni-ricadenti-territori-toscana-diffusa-contributi-interventi-strutture-servizio-pubbliche,Decreto 8809 del 20/04/2026,Portale bandi Regione Toscana,2026-09-14
amianto-edifici-pubblici-2026,Bando Amianto Edifici Pubblici 2026,Regione Toscana,ambiente,Piano Regionale di Tutela dall Amianto,2026-07-02,2026-09-30,Prorogata alle ore 16 del 30/09/2026 con decreto 18783 del 19/08/2026,0,1,Enti Locali con sede in Toscana: Comuni Unioni di Comuni Province Citta Metropolitana,Toscana,Cofinanziamento dell Ente tra i criteri di valutazione,,,100,,300000,1500000,https://www.regione.toscana.it/-/bando-amianto-2026,Decreto 13513 del 18/06/2026,Portale bandi Regione Toscana,2026-09-14
parcheggi-2026,Bando parcheggi 2026,Regione Toscana,mobilita,LR 11/2021 modificata da LR 61/2025,2026-09-14,2026-11-30,,0,1,Comuni della Toscana con progetto di fattibilita approvato e schema di contratto di mutuo,Toscana,,,,,,,19500000,https://www.regione.toscana.it/-/bando-parcheggi-2026,Decreto 18191 del 07/08/2026,Portale bandi Regione Toscana,2026-09-14
